"Timestamp","Sex","Age","Highest completed level of education","Do you have a significant other?","Which one do you prefer most?","How many sexual partners have you had in the past year ","Would you consider yourself sexually adventurous?","What type of snacks do you prefer?"
"2018/11/14 3:56:51 PM GMT+1","Male","30","Bachelor","Yes","Sex","6","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 3:57:15 PM GMT+1","Male","31","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 3:59:47 PM GMT+1","Male","38","PhD","Yes","Sex","5","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:00:16 PM GMT+1","Female","22","Bachelor","No","Sex","8","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:00:21 PM GMT+1","Male","20","High school","No","Sex","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:00:41 PM GMT+1","Female","24","Masters","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:01:26 PM GMT+1","Male","19","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:01:26 PM GMT+1","Female","19","High school","Yes","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:02:06 PM GMT+1","Female","29","High school","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:02:20 PM GMT+1","Female","29","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:04:14 PM GMT+1","Female","28","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:06:11 PM GMT+1","Female","24","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:07:11 PM GMT+1","Male","28","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:07:23 PM GMT+1","Female","27","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:08:55 PM GMT+1","Female","24","Bachelor","No","Sex","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:09:04 PM GMT+1","Male","24","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:11:30 PM GMT+1","Female","49","High school","Yes","Sex","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:13:44 PM GMT+1","Male","25","High school","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:13:55 PM GMT+1","Female","","Bachelor","Yes","Cuddling","6","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:14:01 PM GMT+1","Female","","Bachelor","Yes","Cuddling","6","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:14:50 PM GMT+1","Female","24","Bachelor","No","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:15:36 PM GMT+1","Male","37","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:15:53 PM GMT+1","Male","18","High school","No","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:16:01 PM GMT+1","Male","23","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:16:25 PM GMT+1","Male","32","Bachelor","Yes","Cuddling","7","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:16:35 PM GMT+1","Male","20","High school","No","Sex","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:16:35 PM GMT+1","Male","17","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:18:26 PM GMT+1","Male","27","Bachelor","Yes","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:19:23 PM GMT+1","Female","25","Masters","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:20:12 PM GMT+1","Female","26","Bachelor","No","Cuddling","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:20:15 PM GMT+1","Male","22","Bachelor","No","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:20:30 PM GMT+1","Female","29","Masters","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:20:37 PM GMT+1","Male","21","No education","Yes","Sex","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:20:52 PM GMT+1","Female","17","High school","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:21:02 PM GMT+1","Male","22","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:21:02 PM GMT+1","Male","27","PhD","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:21:34 PM GMT+1","Female","25","Bachelor","Yes","Sex","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:21:44 PM GMT+1","Female","55","Masters","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:22:02 PM GMT+1","Male","18","High school","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:23:21 PM GMT+1","Female","22","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:23:55 PM GMT+1","Female","32","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:24:12 PM GMT+1","Male","22","Bachelor","No","Sex","4","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:24:36 PM GMT+1","Female","48","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:25:36 PM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:25:51 PM GMT+1","Male","24","Bachelor","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:26:59 PM GMT+1","Female","29","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:27:17 PM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:28:26 PM GMT+1","Male","28","Bachelor","Yes","Sex","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:28:46 PM GMT+1","Male","26","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:30:00 PM GMT+1","Male","20","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:30:13 PM GMT+1","Female","36","Bachelor","Yes","Cuddling","3","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:31:41 PM GMT+1","Male","27","Masters","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:31:50 PM GMT+1","Female","18","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:32:00 PM GMT+1","Male","42","High school","No","Sex","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:32:37 PM GMT+1","Female","25","Bachelor","Yes","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:33:11 PM GMT+1","Female","25","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:33:50 PM GMT+1","Male","23","Bachelor","Yes","Sex","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:33:50 PM GMT+1","Male","29","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:34:13 PM GMT+1","Male","22","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:35:24 PM GMT+1","Female","24","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:35:57 PM GMT+1","Female","23","High school","Yes","Sex","4","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:37:17 PM GMT+1","Male","","Masters","No","Sex","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:38:06 PM GMT+1","Male","35","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:38:08 PM GMT+1","Female","48","High school","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:39:20 PM GMT+1","Female","24","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:39:22 PM GMT+1","Male","28","Bachelor","No","Sex","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:39:44 PM GMT+1","Male","20","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:40:16 PM GMT+1","Male","18","Bachelor","No","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:40:33 PM GMT+1","Female","29","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:40:48 PM GMT+1","Male","35","Masters","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:40:51 PM GMT+1","Female","34","Masters","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:41:09 PM GMT+1","Male","27","Bachelor","Yes","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:41:34 PM GMT+1","Male","27","Bachelor","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:41:55 PM GMT+1","Male","20","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:42:12 PM GMT+1","Female","29","Masters","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 4:43:46 PM GMT+1","Female","30","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:44:28 PM GMT+1","Male","30","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 4:44:32 PM GMT+1","Male","46","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
