"Timestamp","Sex","Age","Highest completed level of education","Do you have a significant other?","Which one do you prefer most?","How many sexual partners have you had in the past year ","Would you consider yourself sexually adventurous?","What type of snacks do you prefer?"
"2018/11/14 6:20:46 PM GMT+1","Male","29","Masters","Yes","Cuddling","15","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:21:03 PM GMT+1","Female","22","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:21:08 PM GMT+1","Female","30","Bachelor","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:21:15 PM GMT+1","Female","34","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:21:29 PM GMT+1","Male","20","Bachelor","No","Cuddling","10","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:21:34 PM GMT+1","Female","41","Bachelor","Maybe","Cuddling","5","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:22:08 PM GMT+1","Male","20","High school","No","Sex","10","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:22:19 PM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:23:12 PM GMT+1","Male","40","Bachelor","Yes","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:24:12 PM GMT+1","Female","37","PhD","Yes","Sex","6","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:24:21 PM GMT+1","Female","21","Bachelor","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:24:25 PM GMT+1","Female","43","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:25:30 PM GMT+1","Male","39","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:25:54 PM GMT+1","Male","21","Bachelor","No","Sex","7","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:26:00 PM GMT+1","Male","23","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:28:13 PM GMT+1","Female","23","High school","No","Sex","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:28:17 PM GMT+1","Male","28","Bachelor","No","Cuddling","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:28:38 PM GMT+1","Female","17","High school","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:29:13 PM GMT+1","Male","19","Bachelor","No","Sex","166","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:29:24 PM GMT+1","Female","21","High school","Maybe","Cuddling","2","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:29:34 PM GMT+1","Female","17","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:31:22 PM GMT+1","Female","37","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:31:22 PM GMT+1","Female","26","High school","Yes","Cuddling","3","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:31:23 PM GMT+1","Female","32","Masters","Maybe","Cuddling","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:31:40 PM GMT+1","Male","18","High school","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:32:53 PM GMT+1","Male","48","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:33:02 PM GMT+1","Male","28","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:33:05 PM GMT+1","Prefer not to say","36","Bachelor","Yes","Cuddling","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:33:09 PM GMT+1","Male","22","Bachelor","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:33:34 PM GMT+1","Prefer not to say","21","Bachelor","No","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:33:38 PM GMT+1","Female","25","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:34:18 PM GMT+1","Male","25","Bachelor","Yes","Sex","4","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:34:21 PM GMT+1","Male","23","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:34:50 PM GMT+1","Male","18","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:35:06 PM GMT+1","Male","23","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:35:14 PM GMT+1","Female","29","High school","No","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:35:41 PM GMT+1","Female","18","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:36:07 PM GMT+1","Female","35","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:36:18 PM GMT+1","Male","22","Bachelor","No","Sex","3","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:36:24 PM GMT+1","Female","19","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:36:45 PM GMT+1","Female","32","High school","Yes","Sex","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:36:53 PM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:37:26 PM GMT+1","Male","30","PhD","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:37:29 PM GMT+1","Female","19","High school","No","Sex","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:38:18 PM GMT+1","Female","32","Bachelor","Yes","Sex","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:38:23 PM GMT+1","Male","26","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:38:57 PM GMT+1","Female","25","Masters","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:39:00 PM GMT+1","Male","19","High school","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:39:01 PM GMT+1","Male","27","Bachelor","No","Sex","20","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:39:13 PM GMT+1","Male","25","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:39:27 PM GMT+1","Male","25","Masters","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:39:54 PM GMT+1","Female","23","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:39:54 PM GMT+1","Female","20","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:40:16 PM GMT+1","Female","18","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:40:36 PM GMT+1","Male","27","Masters","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:40:36 PM GMT+1","Female","30","Masters","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:41:25 PM GMT+1","Female","32","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:42:20 PM GMT+1","Female","17","High school","Maybe","Sex","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:43:02 PM GMT+1","Male","20","High school","No","Sex","3","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:43:04 PM GMT+1","Male","25","Bachelor","No","Sex","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:43:20 PM GMT+1","Female","22","Bachelor","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:43:27 PM GMT+1","Male","33","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:43:28 PM GMT+1","Female","22","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:43:36 PM GMT+1","Male","16","High school","No","Sex","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:43:44 PM GMT+1","Male","23","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:43:54 PM GMT+1","Female","20","High school","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:44:31 PM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:44:43 PM GMT+1","Male","20","High school","Yes","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:45:09 PM GMT+1","Male","20","Bachelor","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:45:21 PM GMT+1","Female","32","High school","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:45:25 PM GMT+1","Female","32","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:45:47 PM GMT+1","Male","33","Bachelor","No","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:45:49 PM GMT+1","Female","29","Masters","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:45:51 PM GMT+1","Female","27","Bachelor","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:46:02 PM GMT+1","Male","19","High school","No","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:46:03 PM GMT+1","Female","27","Bachelor","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:46:29 PM GMT+1","Male","26","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:47:14 PM GMT+1","Male","56","Masters","Yes","Sex","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:47:42 PM GMT+1","Male","21","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:48:04 PM GMT+1","Nonbinary","25","Masters","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:48:11 PM GMT+1","Prefer not to say","","PhD","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:48:57 PM GMT+1","Male","18","High school","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:49:15 PM GMT+1","Male","20","High school","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:49:20 PM GMT+1","Male","31","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:49:44 PM GMT+1","Female","26","Masters","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:50:35 PM GMT+1","Male","22","Bachelor","No","Cuddling","3","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:50:47 PM GMT+1","Female","24","High school","Yes","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:50:54 PM GMT+1","Male","19","High school","No","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:51:02 PM GMT+1","Female","24","Bachelor","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:51:24 PM GMT+1","Female","23","High school","Yes","Cuddling","2","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:51:25 PM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:51:33 PM GMT+1","Male","30","PhD","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:51:37 PM GMT+1","Female","22","Masters","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:53:45 PM GMT+1","Female","26","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:54:29 PM GMT+1","Male","34","Masters","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:54:34 PM GMT+1","Male","28","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:55:33 PM GMT+1","Female","18","High school","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:55:42 PM GMT+1","Male","15","High school","No","Cuddling","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:56:07 PM GMT+1","Male","18","High school","Maybe","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:56:46 PM GMT+1","Female","27","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:57:34 PM GMT+1","Female","23","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:57:54 PM GMT+1","Male","19","Bachelor","Maybe","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 6:58:03 PM GMT+1","Male","39","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:59:09 PM GMT+1","Male","31","Masters","Yes","Sex","4","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:59:26 PM GMT+1","Female","28","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 6:59:31 PM GMT+1","Female","40","Masters","Maybe","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:00:01 PM GMT+1","Male","29","High school","No","Sex","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:00:09 PM GMT+1","Male","22","Bachelor","No","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:00:10 PM GMT+1","Male","29","Masters","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:01:09 PM GMT+1","Female","33","Bachelor","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:01:19 PM GMT+1","Male","17","High school","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:01:36 PM GMT+1","Male","16","No education","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:02:42 PM GMT+1","Female","24","Bachelor","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:02:53 PM GMT+1","Female","22","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:03:00 PM GMT+1","Female","27","Masters","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:03:19 PM GMT+1","Female","27","Masters","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:03:30 PM GMT+1","Male","18","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:03:51 PM GMT+1","Male","21","High school","No","Cuddling","0","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:03:54 PM GMT+1","Female","24","Bachelor","No","Sex","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:04:18 PM GMT+1","Non-binary","21","Bachelor","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:04:23 PM GMT+1","Male","36","High school","No","Sex","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:05:46 PM GMT+1","Agender","39","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:05:47 PM GMT+1","Female","24","Bachelor","Yes","Cuddling","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:06:05 PM GMT+1","Female","24","Masters","Yes","Cuddling","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:06:20 PM GMT+1","Female","19","High school","No","Cuddling","0","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:06:50 PM GMT+1","Female","32","PhD","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:07:14 PM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:07:21 PM GMT+1","Male","27","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:07:26 PM GMT+1","Female","24","Masters","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:07:41 PM GMT+1","Female","19","High school","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:08:19 PM GMT+1","Female","29","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:08:36 PM GMT+1","Male","23","High school","No","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:08:44 PM GMT+1","Female","22","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:09:39 PM GMT+1","Male","21","High school","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:10:02 PM GMT+1","Female","20","High school","Yes","Sex","8","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:10:21 PM GMT+1","Female","29","Masters","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:11:06 PM GMT+1","Female","18","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:12:03 PM GMT+1","Male","21","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:14:11 PM GMT+1","Male","23","High school","Yes","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:16:11 PM GMT+1","Male","25","Bachelor","No","Cuddling","2","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:16:44 PM GMT+1","Male","28","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:16:57 PM GMT+1","Male","17","High school","Maybe","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:17:40 PM GMT+1","Female","44","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:18:04 PM GMT+1","Female","38","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:18:09 PM GMT+1","Female","28","Bachelor","Yes","Cuddling","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:18:24 PM GMT+1","Prefer not to say","22","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:19:06 PM GMT+1","Male","22","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:19:20 PM GMT+1","Female","32","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:19:31 PM GMT+1","Female","21","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:19:39 PM GMT+1","Male","16","High school","No","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:20:31 PM GMT+1","Female","19","High school","No","Sex","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:21:21 PM GMT+1","Male","24","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:21:55 PM GMT+1","Male","","High school","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:21:58 PM GMT+1","Male","24","Bachelor","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:22:26 PM GMT+1","Male","","High school","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:22:31 PM GMT+1","Male","35","High school","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:22:54 PM GMT+1","Female","29","Bachelor","Maybe","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:24:28 PM GMT+1","Male","41","Bachelor","Yes","Sex","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:25:13 PM GMT+1","Female","30","Bachelor","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:25:19 PM GMT+1","Male","16","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:25:45 PM GMT+1","Male","32","Bachelor","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:25:49 PM GMT+1","Male","28","Bachelor","No","Sex","0","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:26:56 PM GMT+1","Male","41","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:27:23 PM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:27:28 PM GMT+1","Female","26","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:29:13 PM GMT+1","Female","21","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:29:34 PM GMT+1","Female","29","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:30:00 PM GMT+1","Female","20","High school","Yes","Cuddling","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:30:01 PM GMT+1","Female","18","High school","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:30:05 PM GMT+1","Male","18","High school","No","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:30:09 PM GMT+1","Female","30","Masters","Yes","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:30:12 PM GMT+1","Male","36","PhD","Yes","Sex","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:30:53 PM GMT+1","Female","19","High school","No","Cuddling","3","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:31:20 PM GMT+1","Female","25","Bachelor","No","Cuddling","0","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:31:38 PM GMT+1","Male","35","PhD","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:32:50 PM GMT+1","Female","31","Bachelor","Yes","Cuddling","2","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:33:03 PM GMT+1","Male","19","Bachelor","Yes","Sex","5","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:33:08 PM GMT+1","Female","29","High school","Yes","Cuddling","4","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:33:12 PM GMT+1","Male","16","High school","No","Cuddling","0","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:34:17 PM GMT+1","Male","27","Bachelor","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:34:24 PM GMT+1","Male","20","High school","No","Sex","1","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:34:53 PM GMT+1","Female","37","Bachelor","No","Cuddling","4","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:36:54 PM GMT+1","Female","23","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:37:24 PM GMT+1","Prefer not to say","21","High school","Yes","Cuddling","4","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:37:42 PM GMT+1","Male","18","High school","No","Sex","3","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:38:06 PM GMT+1","Male","31","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:38:10 PM GMT+1","Male","21","High school","No","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:38:21 PM GMT+1","Female","25","Masters","Yes","Cuddling","1","No","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:39:34 PM GMT+1","Female","19","High school","No","Sex","1","Yes","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:39:47 PM GMT+1","Male","43","High school","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:40:07 PM GMT+1","Male","29","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:40:10 PM GMT+1","Female","26","Bachelor","Yes","Sex","3","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:40:23 PM GMT+1","Male","20","Bachelor","Yes","Cuddling","1","No","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:40:29 PM GMT+1","Male","33","Bachelor","Yes","Sex","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:40:34 PM GMT+1","Female","22","Bachelor","Yes","Cuddling","1","Maybe","Savoury Snacks (Crisps, Hummus, etc)"
"2018/11/14 7:40:48 PM GMT+1","Female","21","High school","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:40:50 PM GMT+1","Female","20","Bachelor","Yes","Cuddling","1","Maybe","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:41:26 PM GMT+1","Female","24","Bachelor","Yes","Sex","2","Yes","Sweet Snacks (Cookies, Candy, etc)"
"2018/11/14 7:41:57 PM GMT+1","Female","16","High school","Yes","Cuddling","0","No","Savoury Snacks (Crisps, Hummus, etc)"
